id,category,author,title,year,type,url,priority
acemoglu-simple-macro,economist,Daron Acemoglu,The Simple Macroeconomics of AI,2024,paper,https://economics.mit.edu/sites/default/files/2024-04/The%20Simple%20Macroeconomics%20of%20AI.pdf,1
korinek-agi-scenarios,economist,Anton Korinek & Donghyun Suh,Scenarios for the Transition to AGI,2024,paper,https://arxiv.org/abs/2403.12107,1
trammell-korinek-growth,economist,Philip Trammell & Anton Korinek,Economic Growth under Transformative AI,2023,paper,https://arxiv.org/abs/2312.00561,1
brynjolfsson-turing-trap,economist,Erik Brynjolfsson,The Turing Trap: The Promise & Peril of Human-Like AI,2022,essay,https://digitaleconomy.stanford.edu/news/the-turing-trap-the-promise-peril-of-human-like-artificial-intelligence/,1
autor-middle-class,economist,David Autor,AI Could Actually Help Rebuild the Middle Class,2024,essay,https://www.noemamag.com/how-ai-could-help-rebuild-the-middle-class/,1
eloundou-gpts-gpts,economist,Tyna Eloundou et al.,GPTs are GPTs: Labor Market Impact Potential of LLMs,2023,paper,https://arxiv.org/abs/2303.10130,1
aghion-jones-jones,economist,"Aghion, Jones & Jones",Artificial Intelligence and Economic Growth,2017,paper,https://web.stanford.edu/~chadj/AI.pdf,1
korinek-stiglitz,economist,Anton Korinek & Joseph Stiglitz,AI and Its Implications for Income Distribution and Unemployment,2017,paper,https://www.nber.org/papers/w24174,2
acemoglu-restrepo-tasks,economist,Daron Acemoglu & Pascual Restrepo,The Race between Man and Machine,2018,paper,https://economics.mit.edu/sites/default/files/publications/The%20Race%20Between%20Man%20and%20Machine.pdf,2
susskind-future-professions,economist,Richard & Daniel Susskind,The Future of the Professions,2015,book,https://global.oup.com/academic/product/the-future-of-the-professions-9780198713395,3
amodei-loving-grace,lab_leader,Dario Amodei,Machines of Loving Grace,2024,essay,https://darioamodei.com/machines-of-loving-grace,1
altman-intelligence-age,lab_leader,Sam Altman,The Intelligence Age,2024,essay,https://ia.samaltman.com/,1
altman-three-observations,lab_leader,Sam Altman,Three Observations,2025,essay,https://blog.samaltman.com/three-observations,1
altman-gentle-singularity,lab_leader,Sam Altman,The Gentle Singularity,2025,essay,https://blog.samaltman.com/the-gentle-singularity,1
karpathy-dwarkesh,lab_leader,Andrej Karpathy,Dwarkesh Podcast interview,2025,podcast,https://www.dwarkesh.com/p/andrej-karpathy,1
hassabis-interviews,lab_leader,Demis Hassabis,Public interviews on AGI timelines and economics,2025,interview,https://www.dwarkesh.com/p/demis-hassabis,2
amodei-jobs-warning,lab_leader,Dario Amodei,Axios interview: AI could wipe out half of entry-level white-collar jobs,2025,interview,https://www.axios.com/2025/05/28/ai-jobs-white-collar-unemployment-anthropic,1
huang-statements,lab_leader,Jensen Huang,Public statements on AI and jobs,2025,interview,https://www.wired.com/story/jensen-huang-nvidia-ai/,3
ai-2027,forecaster,Kokotajlo et al. (AI Futures Project),AI 2027,2025,report,https://ai-2027.com/,1
aschenbrenner-situational,forecaster,Leopold Aschenbrenner,Situational Awareness: The Decade Ahead,2024,report,https://situational-awareness.ai/,1
epoch-explosive-growth,forecaster,Ege Erdil & Tamay Besiroglu,Explosive Growth from AI Automation: A Review of the Arguments,2023,paper,https://arxiv.org/abs/2309.11690,1
epoch-gate,forecaster,Epoch AI,GATE: Growth and AI Transition Endogenous model,2025,report,https://epoch.ai/gate,2
forethought-intelligence-explosion,forecaster,Forethought (MacAskill et al.),Preparing for the Intelligence Explosion,2025,report,https://www.forethought.org/research/preparing-for-the-intelligence-explosion,1
imf-genai-work,forecaster,IMF (Cazzaniga et al.),Gen-AI: Artificial Intelligence and the Future of Work,2024,report,https://www.imf.org/en/Publications/Staff-Discussion-Notes/Issues/2024/01/14/Gen-AI-Artificial-Intelligence-and-the-Future-of-Work-542379,1
anthropic-economic-index,forecaster,Anthropic,The Anthropic Economic Index,2025,report,https://www.anthropic.com/economic-index,1
mckinsey-genai-work,forecaster,McKinsey Global Institute,Generative AI and the Future of Work in America,2023,report,https://www.mckinsey.com/mgi/our-research/generative-ai-and-the-future-of-work-in-america,2
goldman-briggs-kodnani,forecaster,Goldman Sachs (Briggs & Kodnani),The Potentially Large Effects of AI on Economic Growth,2023,report,https://www.gspublishing.com/content/research/en/reports/2023/03/27/d64e052b-0f6e-45d7-967b-d7be35fabd16.html,3
stanford-ai-index,forecaster,Stanford HAI,AI Index Report (Economy chapter),2025,report,https://aiindex.stanford.edu/report/,3
narayanan-kapoor-normal,skeptic,Arvind Narayanan & Sayash Kapoor,AI as Normal Technology,2025,essay,https://knightcolumbia.org/content/ai-as-normal-technology,1
dwarkesh-timelines,skeptic,Dwarkesh Patel,Why I Don't Think AGI Is Right Around the Corner,2025,essay,https://www.dwarkesh.com/p/timelines-june-2025,1
acemoglu-dont-believe-hype,skeptic,Daron Acemoglu,Don't Believe the AI Hype,2024,essay,https://www.project-syndicate.org/commentary/ai-productivity-boost-will-be-smaller-than-expected-by-daron-acemoglu-2024-05,1
intelligence-curse,skeptic,Luke Drago & Rudolf Laine,The Intelligence Curse,2025,essay,https://intelligence-curse.ai/,1
marcus-skepticism,skeptic,Gary Marcus,Deep Learning Is Hitting a Wall / AGI skepticism,2022,essay,https://nautil.us/deep-learning-is-hitting-a-wall-238440/,2
mollick-cointelligence,skeptic,Ethan Mollick,Co-Intelligence / One Useful Thing essays,2024,blog,https://www.oneusefulthing.org/p/latent-expertise-experts-and-ai,2
brookings-korinek-work,economist,Anton Korinek,Scenario Planning for an AGI Future,2024,essay,https://www.imf.org/en/Publications/fandd/issues/2023/12/Scenario-Planning-for-an-AGI-future-Anton-korinek,2
acemoglu-johnson-power,economist,Daron Acemoglu & Simon Johnson,Power and Progress (thesis essays),2023,essay,https://www.project-syndicate.org/onpoint/ai-automation-labor-productivity-daron-acemoglu-simon-johnson,2
bloom-ai-growth,economist,Nicholas Bloom et al.,Are Ideas Getting Harder to Find?,2020,paper,https://web.stanford.edu/~chadj/IdeaPF.pdf,3
noy-zhang-writing,economist,Shakked Noy & Whitney Zhang,Experimental Evidence on the Productivity Effects of Generative AI,2023,paper,https://www.science.org/doi/10.1126/science.adh2586,2
brynjolfsson-callcenter,economist,"Brynjolfsson, Li & Raymond",Generative AI at Work,2023,paper,https://arxiv.org/abs/2304.11771,2
peng-copilot,economist,Sida Peng et al.,The Impact of AI on Developer Productivity: Evidence from GitHub Copilot,2023,paper,https://arxiv.org/abs/2302.06590,3
dellacqua-jagged-frontier,economist,Fabrizio Dell'Acqua et al.,Navigating the Jagged Technological Frontier,2023,paper,https://www.hbs.edu/faculty/Pages/item.aspx?num=64700,2
webb-ai-labor,economist,Michael Webb,The Impact of AI on the Labor Market,2020,paper,https://www.michaelwebb.co/webb_ai.pdf,2
frey-osborne,economist,Carl Frey & Michael Osborne,The Future of Employment,2013,paper,https://www.oxfordmartin.ox.ac.uk/downloads/academic/The_Future_of_Employment.pdf,2
davidson-takeoff,forecaster,Tom Davidson,What a Compute-Centric Framework Says About Takeoff Speeds,2023,report,https://www.openphilanthropy.org/research/what-a-compute-centric-framework-says-about-takeoff-speeds/,2
cotra-bioanchors,forecaster,Ajeya Cotra,Forecasting TAI with Biological Anchors,2020,report,https://www.alignmentforum.org/posts/KrJfoZzpSDpnrv9va/draft-report-on-ai-timelines,3
grace-ai-survey,forecaster,Katja Grace et al.,Thousands of AI Authors on the Future of AI,2024,paper,https://arxiv.org/abs/2401.02843,1
bostrom-superintelligence,forecaster,Nick Bostrom,Superintelligence (economic chapters),2014,book,https://en.wikipedia.org/wiki/Superintelligence:_Paths%2C_Dangers%2C_Strategies,3
hanson-em-economy,forecaster,Robin Hanson,The Age of Em / em economy essays,2016,book,https://ageofem.com/,3
lee-ai-superpowers,forecaster,Kai-Fu Lee,AI Superpowers (labor chapters),2018,book,https://en.wikipedia.org/wiki/AI_Superpowers,3
sutskever-interviews,lab_leader,Ilya Sutskever,Public interviews on superintelligence,2025,interview,https://www.dwarkesh.com/p/ilya-sutskever-2,2
nordhaus-singularity,economist,William Nordhaus,Are We Approaching an Economic Singularity?,2021,paper,https://www.nber.org/papers/w21547,1
moll-rachel-restrepo,economist,"Moll, Rachel & Restrepo",Uneven Growth: Automation's Impact on Income and Wealth Inequality,2022,paper,https://benjaminmoll.com/wp-content/uploads/2022/01/UG.pdf,1
jones-ai-dilemma,economist,Charles I. Jones,The AI Dilemma: Growth versus Existential Risk,2024,paper,https://web.stanford.edu/~chadj/papers.html,1
deming-ong-summers,economist,"Deming, Ong & Summers",Technological Disruption in the Labor Market,2025,paper,https://www.nber.org/papers/w33323,1
ide-talamas,economist,Enrique Ide & Eduard Talamas,Artificial Intelligence in the Knowledge Economy,2024,paper,https://arxiv.org/abs/2312.05481,1
restrepo-agi-work,economist,Pascual Restrepo,Work and Growth in the Era of AGI,2025,paper,https://pascualrestrepo.com/,1
korinek-policy-challenges,economist,Anton Korinek,Economic Policy Challenges for the Age of AI,2024,paper,https://www.nber.org/papers/w32980,2
acemoglu-restrepo-new-tasks,economist,Daron Acemoglu & Pascual Restrepo,"Automation and New Tasks: How Technology Displaces and Reinstates Labor",2019,paper,https://www.aeaweb.org/articles?id=10.1257/jep.33.2.3,2
autor-new-frontiers,economist,"Autor, Chin, Salomons & Seegmiller",New Frontiers: The Origins and Content of New Work 1940-2018,2024,paper,https://www.nber.org/papers/w30389,2
autor-work-of-future,economist,David Autor,Work of the Past Work of the Future,2019,paper,https://www.nber.org/papers/w25588,2
hemous-olsen-machines,economist,David Hemous & Morten Olsen,The Rise of the Machines: Automation Horizontal Innovation and Income Inequality,2022,paper,https://www.davidhemous.info/,2
