id,category,author,title,year,type,url,priority
hampole-ai-labor-market,empirical,"Menaka Hampole, Dimitris Papanikolaou, Lawrence D.W. Schmidt & Bryan Seegmiller",Artificial Intelligence and the Labor Market,2025,paper,https://www.nber.org/papers/w33509,1
kogan-papanikolaou-tech-displacement,empirical,"Leonid Kogan, Dimitris Papanikolaou, Lawrence D.W. Schmidt & Bryan Seegmiller","Technology and Labor Displacement: Evidence from Linking Patents with Worker-Level Data",2023,paper,https://www.nber.org/papers/w31846,1
liu-papanikolaou-tech-labor-markets,empirical,"Huben Liu, Dimitris Papanikolaou, Lawrence Schmidt & Bryan Seegmiller","Technology and Labor Markets: Past, Present, and Future; Evidence from Two Centuries of Innovation",2025,paper,https://www.nber.org/papers/w34386,2
babina-ai-workforce-composition,empirical,"Tania Babina, Anastassia Fedyk, Alex Xi He & James Hodson",Firm Investments in Artificial Intelligence Technologies and Changes in Workforce Composition,2023,paper,https://www.nber.org/papers/w31325,2
babina-ai-firm-growth-innovation,empirical,"Tania Babina, Anastassia Fedyk, Alex Xi He & James Hodson","Artificial Intelligence, Firm Growth, and Product Innovation",2024,paper,https://doi.org/10.1016/j.jfineco.2023.103745,2
otis-kenya-entrepreneurship-rct,empirical,"Nicholas Otis, Rowan Clarke, Solène Delecourt, David Holtz & Rembrand Koning",The Uneven Impact of Generative AI on Entrepreneurial Performance: Evidence from a Field Experiment in Kenya,2025,paper,https://doi.org/10.1287/mnsc.2024.06909,1
acemoglu-autor-johnson-proworker-ai,economist,"Daron Acemoglu, David Autor & Simon Johnson",Building Pro-Worker Artificial Intelligence,2026,paper,https://www.nber.org/papers/w34854,1
metr-developer-slowdown-rct,empirical,"Joel Becker, Nate Rush, Elizabeth Barnes & David Rein",Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,2025,paper,https://arxiv.org/abs/2507.09089,1
autor-rebuild-middle-class-nber,economist,David Autor,Applying AI to Rebuild Middle Class Jobs,2024,paper,https://www.nber.org/papers/w32140,1
toner-rodgers-ai-science-retracted,empirical,Aidan Toner-Rodgers,"Artificial Intelligence, Scientific Discovery, and Product Innovation (RETRACTED)",2024,paper,https://arxiv.org/abs/2412.17866,3
felten-raj-seamans-occupational-exposure,empirical,"Edward Felten, Manav Raj & Robert Seamans",Occupational Heterogeneity in Exposure to Generative AI,2023,paper,https://doi.org/10.2139/ssrn.4414065,2
cui-genai-developer-field-experiments,empirical,"Kevin Zheyuan Cui, Mert Demirer, Sonia Jaffe, Leon Musolff, Sida Peng & Tobias Salz",The Effects of Generative AI on High-Skilled Work: Evidence from Three Field Experiments with Software Developers,2024,paper,https://doi.org/10.2139/ssrn.4945566,1
eisfeldt-generative-ai-firm-values,empirical,"Andrea Eisfeldt, Gregor Schubert & Miao Ben Zhang",Generative AI and Firm Values,2023,paper,https://www.nber.org/papers/w31222,2
alekseeva-ai-managerial-expertise,empirical,"Liudmila Alekseeva, José Azar, Mireia Gine & Sampsa Samila",AI Adoption and the Demand for Managerial Expertise,2024,paper,https://doi.org/10.2139/ssrn.4986379,2
costinot-werning-robots-luddism,economist,Arnaud Costinot & Iván Werning,"Robots, Trade, and Luddism: A Sufficient Statistic Approach to Optimal Technology Regulation",2022,paper,https://doi.org/10.1093/restud/rdac076,2
