id,category,author,title,year,type,url,priority
acemoglu-econtalk-2023,economist,Daron Acemoglu,"EconTalk: Daron Acemoglu — Innovation, Power, and Shared Prosperity",2023,podcast,https://www.econtalk.org/daron-acemoglu-on-innovation-and-shared-prosperity/,1
cowen-econtalk-risks-2023,economist,Tyler Cowen,EconTalk: Tyler Cowen — The Risks and Impact of Artificial Intelligence,2023,podcast,https://www.econtalk.org/tyler-cowen-on-the-risks-and-impact-of-artificial-intelligence/,1
cowen-econtalk-employment-2026,economist,Tyler Cowen,"EconTalk: Tyler Cowen — AI, Employment, and Education",2026,podcast,https://www.econtalk.org/ai-employment-and-education-with-tyler-cowen/,1
hoffman-econtalk-2025,lab_leader,Reid Hoffman,EconTalk: Reid Hoffman — Why AI Is Good for Humans,2025,podcast,https://www.econtalk.org/why-ai-is-good-for-humans-with-reid-hoffman/,2
ball-econtalk-2026,economist,Dean Ball,"EconTalk: Dean Ball — Claude, War, and the State of the Republic",2026,podcast,https://www.econtalk.org/claude-war-and-the-state-of-the-republic-with-dean-ball/,3
clark-cwt-2025,lab_leader,Jack Clark,Conversations with Tyler: Jack Clark — AI's Uneven Impact,2025,podcast,https://conversationswithtyler.com/episodes/jack-clark/,1
davidson-80k-takeoff-2023,forecaster,Tom Davidson,80000 Hours Podcast: Tom Davidson — How Quickly AI Could Transform the World,2023,podcast,https://80000hours.org/podcast/episodes/tom-davidson-how-quickly-ai-could-transform-the-world/,1
davidson-80k-coups-2025,forecaster,Tom Davidson,80000 Hours Podcast: Tom Davidson — How AI-Enabled Coups Could Allow a Tiny Group to Seize Power,2025,podcast,https://80000hours.org/podcast/episodes/tom-davidson-ai-enabled-human-power-grabs/,2
shulman-80k-economy-2024,forecaster,Carl Shulman,80000 Hours Podcast: Carl Shulman — The Economy and National Security after AGI (Part 1),2024,podcast,https://80000hours.org/podcast/episodes/carl-shulman-economy-agi/,1
shulman-80k-government-2024,forecaster,Carl Shulman,80000 Hours Podcast: Carl Shulman — Government and Society after AGI (Part 2),2024,podcast,https://open.spotify.com/episode/6P71Eva2i9U5eBsChVWHFx,2
imas-oddlots-2026,economist,Alex Imas,Odd Lots: Alex Imas — Why Economists Might Be Getting AI Wrong,2026,podcast,https://www.bloomberg.com/news/articles/2026-04-18/economists-might-be-wrong-about-ai-and-jobs,1
clark-mccrory-oddlots-2026,economist,Jack Clark & Peter McCrory,Odd Lots: Jack Clark & Peter McCrory — Anthropic's Co-Founder and Top Economist on the AI Frontier,2026,podcast,https://www.bloomberg.com/news/articles/2026-06-19/anthropic-s-co-founder-and-top-economist-on-doing-research-at-the-ai-frontier,1
devries-oddlots-2026,forecaster,Andy DeVries,Odd Lots: Andy DeVries — The Utilities Analyst Who Says the Data Center Demand Story Doesn't Add Up,2026,podcast,https://www.bloomberg.com/news/audio/2026-02-02/odd-lots-the-data-center-demand-story-doesn-t-add-up-podcast,2
wingens-oddlots-2026,forecaster,Gary Wingens,Odd Lots: Gary Wingens — Why AI Might Actually Create More Work for Lawyers,2026,podcast,https://podcasts.apple.com/us/podcast/why-ai-might-actually-create-more-work-for-lawyers/id1056200096?i=1000776561632,2
cherny-oddlots-2026,lab_leader,Boris Cherny,Odd Lots: Boris Cherny — The Creator of Claude Code on the Hottest Piece of Software in the World,2026,podcast,https://podcasts.apple.com/us/podcast/the-creator-of-claude-code-on-the-hottest-piece/id1056200096?i=1000777521827,2
solomon-oddlots-2026,lab_leader,David Solomon,Odd Lots: David Solomon — Running a Bank in the Age of AI,2026,podcast,https://podscripts.co/podcasts/odd-lots/goldman-sachs-ceo-david-solomon-on-running-a-bank-in-the-age-of-ai,2
lee-macromusings-2023,skeptic,Tim Lee,Macro Musings: Tim Lee — AI Automation and the Macroeconomy,2023,podcast,https://macromusings.libsyn.com/tim-lee-on-the-present-and-future-of-ai-and-its-implications-for-policy,2
mullainathan-capitalisnt-2023,economist,Sendhil Mullainathan,Capitalisn't: Sendhil Mullainathan — Who Controls AI?,2023,podcast,https://capitalisnt.com/episodes/who-controls-ai-with-sendhil-mullainathan-idyLjiVh/transcript,1
narayanan-capitalisnt-2025,skeptic,Arvind Narayanan,Capitalisn't: Arvind Narayanan — What Everyone's Getting Wrong About AI,2025,podcast,https://open.spotify.com/episode/2hwj2mNU1NwzOrw00yYKZ5,1
davidson-freakonomics-joke-2023,podcast,Adam Davidson,Freakonomics Radio: Adam Davidson — Can AI Take a Joke? (How to Think About AI Pt. 1),2023,podcast,https://freakonomics.com/podcast/can-a-i-take-a-joke/,3
davidson-freakonomics-jobs-2023,podcast,Adam Davidson,Freakonomics Radio: Adam Davidson — New Technologies Always Scare Us: Is AI Any Different? (How to Think About AI Pt. 2),2023,podcast,https://freakonomics.com/podcast/new-technologies-always-scare-us-is-a-i-any-different/,1
