id,category,author,title,year,type,url,priority
acemoglu-nobelprize-2025,economist,Daron Acemoglu,Nobel Prize podcast interview with Adam Smith,2025,podcast,https://www.nobelprize.org/prizes/economic-sciences/2024/acemoglu/podcast/,1
acemoglu-projectsyndicate-2026,economist,Daron Acemoglu,Reclaiming Democracy From the Market,2026,essay,https://www1.project-syndicate.org/onpoint/saving-democracy-in-the-age-of-ai-by-daron-acemoglu-and-michael-j-sandel-2026-03,1
acemoglu-metisstrategy-2024,economist,Daron Acemoglu,Power and Progress: MIT Professor Daron Acemoglu on Navigating Techno-Optimism and Regulation in the Era of AI,2024,interview,https://www.metisstrategy.com/interview/daron-acemoglu/,1
acemoglu-capitalismfreedom-2024,economist,Daron Acemoglu,"Episode 33: Daron Acemoglu on Institutions, Economic Growth and AI",2024,podcast,https://capitalismandfreedom.substack.com/p/episode-33-daron-acemoglu-mit-economics,2
autor-possible-2025,economist,David Autor,"David Autor on AI's impact on jobs, expertise, and labor markets",2025,podcast,https://www.possible.fm/podcasts/autor/,1
autor-issues-2024,economist,David Autor,David Autor: How Is AI Shaping the Future of Work?,2024,interview,https://issues.org/david-autor-economist-ai-future-work/,1
summers-gzero-2024,economist,Larry Summers,Larry Summers: Which jobs will AI replace?,2024,interview,https://www.gzeromedia.com/video/gzero-world-clips/larry-summers-which-jobs-will-ai-replace,1
summers-nejmai-2024,economist,Larry Summers,The Economics of AI: A Conversation with Larry Summers,2024,podcast,https://ai-podcast.nejm.org/e/the-economics-of-ai-a-conversation-with-larry-summers,1
krugman-substack-martinwolf-2025,skeptic,Paul Krugman,Talking AI With Martin Wolf,2025,essay,https://paulkrugman.substack.com/p/talking-ai-with-martin-wolf,1
krugman-substack-pitfalls-2025,skeptic,Paul Krugman,AI and the Pitfalls of Innovation,2025,essay,https://paulkrugman.substack.com/p/ai-and-the-pitfalls-of-innovation,1
krugman-substack-techjobs-2025,skeptic,Paul Krugman,Technology and Jobs,2025,essay,https://paulkrugman.substack.com/p/technology-and-jobs,2
stiglitz-scientificamerican-2025,economist,Joseph Stiglitz,"Unregulated AI Will Worsen Inequality, Warns Nobel-Winning Economist Joseph Stiglitz",2025,interview,https://www.scientificamerican.com/article/unregulated-ai-will-worsen-inequality-warns-nobel-winning-economist-joseph-stiglitz/,1
