id,category,author,title,year,type,url,priority
epoch-scaling-2030,forecaster,Epoch AI,Can AI Scaling Continue Through 2030?,2024,blog,https://epoch.ai/blog/can-ai-scaling-continue-through-2030,2
epoch-explosive-growth-redux,forecaster,Andrei Potlogea & Anson Ho (Epoch AI),AI and Explosive Growth Redux,2025,blog,https://epoch.ai/gradient-updates/ai-and-explosive-growth-redux,1
epoch-broad-automation,forecaster,Ege Erdil & Matthew Barnett,"Most AI Value Will Come from Broad Automation, Not from R&D",2025,blog,https://epoch.ai/gradient-updates/most-ai-value-will-come-from-broad-automation-not-from-r-d,1
epoch-datacenter-gdp,forecaster,Epoch AI,Data Center Buildout Share of US GDP Is Still Relatively Small (But Rapidly Growing),2026,blog,https://epoch.ai/data-insights/ai-datacenter-share-gdp,2
mechanize-life-after-work,forecaster,Mechanize (Erdil & Besiroglu),Life After Work,2025,blog,https://www.mechanize.work/blog/life-after-work/,1
mechanize-technological-determinism,forecaster,Mechanize,The Future of AI Is Already Written,2025,blog,https://www.mechanize.work/blog/technological-determinism/,2
forethought-outgrow-world,forecaster,Forethought Research,Could One Country Outgrow the Rest of the World After AGI? Economic Analysis of Superexponential Growth,2025,report,https://www.forethought.org/research/could-one-country-outgrow-the-rest-of-the-world,1
forethought-industrial-explosion,forecaster,Tom Davidson & Rose Hadshar,The Industrial Explosion,2025,essay,https://newsletter.forethought.org/p/the-industrial-explosion,1
forethought-better-futures,forecaster,Will MacAskill & Fin Moorhouse,Introducing Better Futures,2025,report,https://www.forethought.org/research/introducing-better-futures,3
openphil-davidson-explosive-growth,forecaster,Tom Davidson,Could Advanced AI Drive Explosive Economic Growth?,2021,report,https://www.openphilanthropy.org/research/could-advanced-ai-drive-explosive-economic-growth/,1
roodman-human-trajectory,forecaster,David Roodman,Modeling the Human Trajectory,2020,report,https://www.openphilanthropy.org/research/modeling-the-human-trajectory/,2
anthropic-econ-index-jan2026,forecaster,Anthropic,Anthropic Economic Index Report: Economic Primitives,2026,report,https://www.anthropic.com/research/anthropic-economic-index-january-2026-report,1
anthropic-econ-index-mar2026,forecaster,Anthropic,Anthropic Economic Index Report: Learning Curves,2026,report,https://www.anthropic.com/research/economic-index-march-2026-report,2
anthropic-econ-index-jun2026,forecaster,Anthropic,Anthropic Economic Index Report: Cadences,2026,report,https://www.anthropic.com/research/economic-index-june-2026-report,2
anthropic-econ-tasks-paper,forecaster,"Handa, Tamkin, McCain et al. (Anthropic)",Which Economic Tasks are Performed with AI? Evidence from Millions of Claude Conversations,2025,paper,https://arxiv.org/abs/2503.04761,1
anthropic-econ-index-geographic,forecaster,Anthropic,Anthropic Economic Index Report: Uneven Geographic and Enterprise AI Adoption,2025,report,https://arxiv.org/abs/2511.15080,2
openai-jobs-transition,forecaster,OpenAI,Modeling an AI Jobs Transition,2025,report,https://openai.com/index/modeling-ai-jobs-transition/,1
