id,category,author,title,year,type,url,priority
amodei-cnn-anderson-cooper-2025,lab_leader,Dario Amodei,CNN: Anderson Cooper interview on AI-driven unemployment,2025,interview,https://www.cnn.com/2025/05/29/tech/ai-anthropic-ceo-dario-amodei-unemployment,1
amodei-davos-2026-wsj,lab_leader,Dario Amodei,WSJ: live interview with Emma Tucker at Davos 2026,2026,interview,https://www.youtube.com/watch?v=K7F6ohcBJus,1
amodei-weforum-radiodavos-2026,lab_leader,Dario Amodei,"World Economic Forum Radio Davos: ""The day after AGI"" with Hassabis",2026,podcast,https://www.weforum.org/podcasts/radio-davos/episodes/ai-agi-dario-amodei-demis-hassabis/,1
amodei-senate-testimony-2023,lab_leader,Dario Amodei,Senate Judiciary Subcommittee: written testimony on AI oversight,2023,speech,https://www.judiciary.senate.gov/imo/media/doc/2023-07-26_-_testimony_-_amodei.pdf,1
amodei-hardfork-endgame-2025,lab_leader,Dario Amodei,"Hard Fork: ""Surviving the AI endgame""",2025,podcast,https://podcasts.apple.com/us/podcast/anthropics-c-e-o-dario-amodei-on-surviving-the-a-i-endgame/id1528594034?i=1000696782462,2
amodei-goodcompany-tangen-2024,lab_leader,Dario Amodei,"In Good Company with Nicolai Tangen: Claude, AI safety and economic impact",2024,podcast,https://open.spotify.com/episode/6UzOVEv3Upt5oHAMZw9Gzx,1
amodei-cnbc-davos-2026,lab_leader,Dario Amodei,CNBC Squawk Box: Davos 2026 conversation on the AI race,2026,interview,https://podcasts.apple.com/gb/podcast/davos-2026-anthropic-ceo-dario-amodei-1-22-26/id1480890290?i=1000746236607,2
amodei-fortune-jevons-2026,lab_leader,Dario Amodei,"Fortune: invokes Jevons Paradox, revises white-collar jobs narrative",2026,speech,https://fortune.com/2026/05/05/dario-amodei-jevons-paradox-will-ai-wipe-out-white-collar-jobs/,1
altman-senate-testimony-2025,lab_leader,Sam Altman,Senate: testimony on AI competitiveness and the global AI race,2025,speech,https://www.techpolicy.press/transcript-sam-altman-testifies-at-us-senate-hearing-on-ai-competitiveness/,1
altman-atlantic-ubi-2026,lab_leader,Sam Altman,"The Atlantic: ""I no longer believe in universal basic income as much""",2026,interview,https://finance.yahoo.com/economy/policy/articles/sam-altman-falls-love-universal-125253241.html,1
altman-allin-basiccompute-2024,lab_leader,Sam Altman,"All-In Podcast: ""Universal Basic Compute"" proposal",2024,podcast,https://x.com/theallinpod/status/1790558532942602397,2
altman-abundant-intelligence-2025,lab_leader,Sam Altman,"Sam Altman blog: ""Abundant Intelligence""",2025,essay,https://blog.samaltman.com/abundant-intelligence,1
hassabis-60minutes-2025,lab_leader,Demis Hassabis,"CBS 60 Minutes: AI, disease, and ""radical abundance""",2025,interview,https://www.cbsnews.com/news/artificial-intelligence-google-deepmind-ceo-demis-hassabis-60-minutes-transcript/,1
hassabis-time100-2025,lab_leader,Demis Hassabis,"Time: TIME100 interview on AlphaFold, AGI, and humanity",2025,interview,https://time.com/7277608/demis-hassabis-interview-time100-2025/,2
hassabis-fortune-renaissance-2026,lab_leader,Demis Hassabis,"Fortune: predicts AI ""renaissance"" and radical abundance",2026,interview,https://fortune.com/2026/02/11/demis-hassabis-nobel-google-deepmind-predicts-ai-renaissance-radical-abundance,1
hassabis-weforum-radiodavos-2026,lab_leader,Demis Hassabis,"World Economic Forum Radio Davos: ""The day after AGI"" with Amodei",2026,podcast,https://www.weforum.org/podcasts/radio-davos/episodes/ai-agi-dario-amodei-demis-hassabis/,1
hinton-60minutes-2023,lab_leader,Geoffrey Hinton,"CBS 60 Minutes: ""The Godfather of AI""",2023,interview,https://complexevents.com/2024/01/10/godfather-of-ai-geoffrey-hinton-the-60-minutes-interview/,1
hinton-gzero-bremmer-2025,lab_leader,Geoffrey Hinton,"GZERO World with Ian Bremmer: ""The human cost of AI""",2025,podcast,https://www.gzeromedia.com/podcast/gzero-world-podcast/ai-human-cost-geoffrey-hinton,1
hinton-fortune-massive-unemployment-2024,lab_leader,Geoffrey Hinton,"Fortune: AI will create ""massive unemployment"" and ""soaring profits""",2024,interview,https://www.fortune.com/article/godfather-ai-geoffrey-hinton-massive-unemployment-soaring-profits-capitalism-hyperscalers,1
hinton-forbes-disruption-2025,lab_leader,Geoffrey Hinton,"Forbes: ""Society is unprepared for AI's economic disruption""",2025,interview,https://www.forbes.com/sites/timbajarin/2025/09/16/geoffrey-hinton-society-is-unprepared-for-ais-economic-disruption/,2
bengio-fortune-mattertime-2025,lab_leader,Yoshua Bengio,"Fortune: ""Only a matter of time"" before every job is wiped out",2025,interview,https://www.fortune.com/2025/12/19/yoshua-bengio-ai-only-a-matter-of-time-before-every-single-job-is-wiped-out-even-gen-z-trade-plumbing,1
bengio-moneycontrol-governments-2025,lab_leader,Yoshua Bengio,"Moneycontrol (via Storyboard18): ""Governments are not doing anything"" on AI job losses",2025,interview,https://www.storyboard18.com/trending/governments-are-not-doing-anything-yoshua-bengio-warns-of-ai-job-losses-90019.htm,2
suleyman-bloomberg-superhuman-2025,lab_leader,Mustafa Suleyman,"Bloomberg Businessweek: ""AI Is Already Superhuman""",2025,interview,https://www.bloomberg.com/features/2025-mustafa-suleyman-weekend-interview/,1
suleyman-fortune-18months-2024,lab_leader,Mustafa Suleyman,Fortune: 18-month timeline for white-collar automation,2024,interview,https://fortune.com/article/why-microsoft-ai-chief-mustafa-suleyman-predicts-ai-automation-18-months/,1
suleyman-siliconvalleygirl-podcast-2025,lab_leader,Mustafa Suleyman,"Silicon Valley Girl Podcast: on AI, jobs, and the economy",2025,podcast,https://singjupost.com/mustafa-suleyman-on-silicon-valley-girl-podcast-transcript/,3
huang-cnbc-losejob-2025,lab_leader,Jensen Huang,"CNBC: ""You'll lose your job to somebody who uses AI""",2025,interview,https://www.cnbc.com/2025/05/28/nvidia-ceo-jensen-huang-youll-lose-your-job-to-somebody-who-uses-ai.html,1
huang-weforum-fink-davos-2026,lab_leader,Jensen Huang,"World Economic Forum: conversation with Larry Fink on AI's ""five-layer cake"" economy",2026,interview,https://www.weforum.org/videos/ai-five-layer-cake-jensen-huang/,1
huang-techcrunch-enormousjobs-2026,lab_leader,Jensen Huang,"TechCrunch: AI is ""creating an enormous number of jobs""",2026,interview,https://techcrunch.com/2026/05/04/as-workers-worry-about-ai-nvidias-jensen-huang-says-ai-is-creating-an-enormous-number-of-jobs/,2
pichai-techcrunch-jobfears-2025,lab_leader,Sundar Pichai,"TechCrunch: dismisses AI job fears, emphasizes expansion plans",2025,interview,https://techcrunch.com/2025/06/04/alphabet-ceo-sundar-pichai-dismisses-ai-job-fears-emphasizes-expansion-plans/,1
pichai-bbc-fortune-disruption-2025,lab_leader,Sundar Pichai,"Fortune/BBC: ""We have to work through societal disruption""",2025,interview,https://fortune.com/2025/12/02/ai-wipes-jobs-google-ceo-sundar-pichai-everyday-people-to-adapt-accordingly-we-have-to-work-through-societal-disruption,1
nadella-stratechery-platformshift-2024,lab_leader,Satya Nadella,Stratechery: interview on the AI platform shift and the economy,2024,interview,https://stratechery.com/2024/interviews-with-microsoft-ceo-satya-nadella-and-cto-kevin-scott-about-the-ai-platform-shift/,2
scott-stratechery-platformshift-2024,lab_leader,Kevin Scott,Stratechery: Kevin Scott on the AI platform shift and jobs,2024,interview,https://stratechery.com/2024/interviews-with-microsoft-ceo-satya-nadella-and-cto-kevin-scott-about-the-ai-platform-shift/,2
scott-capgemini-abundance-2024,lab_leader,Kevin Scott,"Capgemini: ""Turning scarcity into abundance""",2024,interview,https://www.capgemini.com/us-en/insights/research-library/a-conversation-with-kevin-scott/,3
scott-mckinsey-forwardthinking-2023,lab_leader,Kevin Scott,"McKinsey: ""Forward Thinking"" on AI and the future of work",2023,interview,https://www.mckinsey.com/featured-insights/future-of-work/forward-thinking-on-artificial-intelligence-with-microsoft-cto-kevin-scott,2
zuckerberg-complex-ideageneration-2026,lab_leader,Mark Zuckerberg,Complex Idea Generation: pushes back on AI job-displacement anxiety,2026,interview,https://letsdatascience.com/news/mark-zuckerberg-rejects-ai-job-displacement-anxiety-dca98954,2
musk-saudi-investmentforum-2025,lab_leader,Elon Musk,"US-Saudi Investment Forum: ""work will be optional""",2025,speech,https://www.foxbusiness.com/economy/elon-musk-predicts-work-optional-coming-decades,1
schmidt-hvylya-chinajobs-2025,lab_leader,Eric Schmidt,"Hvylya: interview on AI, China, jobs, and superintelligence",2025,interview,https://en.hvylya.net/interview/2781-eric-schmidt-most-of-the-world-s-ai-will-soon-run-on-chinese-models,1
schmidt-thenational-jobcreation-2025,lab_leader,Eric Schmidt,"The National: AI ""will create more jobs than it destroys""",2025,interview,https://www.thenationalnews.com/future/technology/2025/10/30/ai-jobs-creation-google-eric-schmidt/,2
hoffman-fortune-superagency-2025,lab_leader,Reid Hoffman,"Fortune: ""Superagency"" book interview on AI's economic future",2025,interview,https://fortune.com/2025/01/31/reid-hoffman-interview-openai-deepseek-superagncy-ai-book/,1
hoffman-mastersofscale-superagency-2025,lab_leader,Reid Hoffman,"Masters of Scale: AI ""Superagency"" and the future of work",2025,podcast,https://mastersofscale.com/reid-hoffman-on-ai-superagency/,3
srinivas-breitbart-gloriousfuture-2026,lab_leader,Aravind Srinivas,"Breitbart: AI has a ""glorious future"" because people don't enjoy their jobs",2026,interview,https://www.breitbart.com/politics/2026/04/01/perplexity-ai-ceo-aravind-srinivas-ai-has-glorious-future-because-people-dont-enjoy-their-jobs/,2
murati-fortune-creativejobs-2024,lab_leader,Mira Murati,"Fortune: ""Some creative jobs maybe will go away""",2024,interview,https://fortune.com/2024/06/24/ai-creative-industry-jobs-losses-openai-cto-mira-murati-skill-displacement,2
brockman-substack-notenoughcompute-2024,lab_leader,Greg Brockman,"Tae Kim's Substack: ""There's not going to be enough compute""",2024,interview,https://taekim.substack.com/p/an-interview-with-openai-president,2
brockman-benzinga-computeeconomy-2026,lab_leader,Greg Brockman,"Benzinga: envisions a ""compute-powered economy""",2026,essay,https://www.benzinga.com/markets/tech/26/04/51824967/openais-greg-brockman-envisions-compute-powered-economy-as-ai-transforms-work-entrepreneurship,1
liangwenfeng-chinatalk-2024,lab_leader,Liang Wenfeng,"ChinaTalk: ""The Quiet Giant Leading China's AI Race"" (translated interview)",2024,interview,https://www.chinatalk.media/p/deepseek-ceo-interview-with-chinas,1
liangwenfeng-chinaacademy-2024,lab_leader,Liang Wenfeng,"China Academy: ""We're done following. It's time to lead."" (translated interview)",2024,interview,https://thechinaacademy.org/interview-with-deepseek-founder-were-done-following-its-time-to-lead/,1
