id,category,author,title,year,type,url,priority
marcus-peak-bubble,skeptic,Gary Marcus,Peak bubble,2025,blog,https://garymarcus.substack.com/p/peak-bubble,1
marcus-bubble-baby-blue,skeptic,Gary Marcus,"The AI bubble is all over now, baby blue",2026,blog,https://garymarcus.substack.com/p/the-ai-bubble-is-all-over-now-baby,1
marcus-slop-productivity,skeptic,Gary Marcus,"Slop, productivity, and why the AI-fueled world is going nowhere mighty fast",2025,blog,https://garymarcus.substack.com/p/slop-productivity-and-why-the-ai,1
marcus-klarna-effect,skeptic,Gary Marcus,"AI, layoffs, productivity and The Klarna Effect",2025,blog,https://garymarcus.substack.com/p/ai-layoffs-productivity-and-the-klarna,2
marcus-future-america,skeptic,Gary Marcus,Two takes on AI and the future of America,2025,blog,https://garymarcus.substack.com/p/two-takes-on-ai-and-the-future-of,3
zitron-subprime-ai-crisis,skeptic,Ed Zitron,The Subprime AI Crisis,2024,essay,https://www.wheresyoured.at/subprimeai/,1
zitron-how-openai-survives,skeptic,Ed Zitron,How Does OpenAI Survive?,2024,essay,https://www.wheresyoured.at/to-serve-altman/,2
zitron-business-idiot,skeptic,Ed Zitron,The Era Of The Business Idiot,2025,essay,https://www.wheresyoured.at/the-era-of-the-business-idiot/,2
zitron-business-idiot-revenge,skeptic,Ed Zitron,Revenge of The Business Idiot,2026,essay,https://www.wheresyoured.at/the-revenge-of-the-business-idiot/,3
zitron-openai-systemic-risk,skeptic,Ed Zitron,OpenAI Is A Systemic Risk To The Tech Industry,2025,interview,https://omny.fm/shows/better-offline/openai-is-a-systemic-risk-to-the-tech-industry,1
acemoglu-bloomberg-5pct-jobs,skeptic,Daron Acemoglu,"AI May Not Live Up to the Hype, MIT Economist Daron Acemoglu Warns",2024,interview,https://www.bloomberg.com/news/articles/2024-10-02/ai-can-only-do-5-of-jobs-says-mit-economist-who-fears-crash,1
acemoglu-bloomberg-mediocre-automation,skeptic,Daron Acemoglu,"Will AI Usher in an Economic Boom, or Just a Lot of Mediocre Automation?",2025,interview,https://www.bloomberg.com/news/articles/2025-10-10/will-ai-usher-in-an-economic-boom-or-just-a-lot-of-mediocre-automation,1
acemoglu-fortune-brainless-discourse,skeptic,Daron Acemoglu,"Nobel Laureate Daron Acemoglu on the 'brainless' AI discourse, the myth of capitalism and the Gen Z revolution risk",2026,interview,https://fortune.com/2026/06/21/nobel-laureate-daron-acemoglu-ai-productivity-capitalism-democracy/,1
acemoglu-techreview-economics-ai,skeptic,Daron Acemoglu,A Nobel laureate on the economics of artificial intelligence,2025,interview,https://www.technologyreview.com/2025/02/25/1111207/a-nobel-laureate-on-the-economics-of-artificial-intelligence/,2
acemoglu-mitsloan-not-improving-productivity,skeptic,Daron Acemoglu,AI Is Not Improving Productivity: Nobel Laureate Daron Acemoglu,2024,interview,https://sloanreview.mit.edu/audio/ai-is-not-improving-productivity-nobel-laureate-daron-acemoglu/,2
gordon-nyfed-skeptical-view,skeptic,Robert Gordon,The Future Of U.S. Productivity Growth: A Skeptical View,2024,report,https://www.newyorkfed.org/medialibrary/media/research/conference/2024/AMEC%20US%20Productivity/Sessiontrue3_Gordon_LGAtrueNYFedtrueFuturetrueoftrueLP_240216,1
romer-mitsloan-hype-skepticism,skeptic,Paul Romer,AI Hype and Skepticism: Economist Paul Romer,2024,interview,https://sloanreview.mit.edu/audio/ai-hype-and-skepticism-economist-paul-romer/,1
romer-scmp-diminishing-returns,skeptic,Paul Romer,"Economist Paul Romer sees AI as hype, FDI real path to growth",2024,interview,https://www.scmp.com/tech/policy/article/3264731/nobel-laureate-paul-romer-sees-diminishing-returns-ai-fdi-still-killer-app-emerging-economies,2
cahn-sequoia-600b-question,skeptic,David Cahn,AI's $600B Question,2024,report,https://sequoiacap.com/article/ais-600b-question/,1
chanos-inet-casino-capitalism,skeptic,Jim Chanos,"Jim Chanos on Crypto, AI, and Casino Capitalism",2025,interview,https://www.ineteconomics.org/perspectives/blog/jim-chanos-on-crypto-ai-and-casino-capitalism,1
chanos-yahoo-dotcom-bubble,skeptic,Jim Chanos,Jim Chanos warns AI spending boom mirrors dot-com bubble risks,2026,interview,https://finance.yahoo.com/news/jim-chanos-warns-ai-spending-171853416.html,2
kupperman-400-billion-ai,skeptic,Harris Kupperman,How To Lose $400 Billion In AI: Harris Kupperman,2025,interview,https://quoththeraven.substack.com/p/a-case-against-the-ai-boom-harris,2
kupperman-ai-mania-end,skeptic,Harris Kupperman,AI Mania Is About To End: Harris Kupperman,2026,interview,https://quoththeraven.substack.com/p/ai-mania-is-about-to-end-harris-kupperman,1
thompson-beyond-ai-exposure-cv,skeptic,Neil Thompson,Beyond AI Exposure: Which Tasks are Cost-Effective to Automate with Computer Vision?,2024,report,https://futuretech.mit.edu/news/beyond-ai-exposure-which-tasks-are-cost-effective-to-automate-with-computer-vision,1
thompson-beyond-ai-exposure-general,skeptic,Neil Thompson,Beyond AI Exposure: Which Tasks are Cost-Effective to Automate?,2025,report,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6691902,2
mitchell-narayanan-cutting-hype,skeptic,Melanie Mitchell & Arvind Narayanan,A Guide to Cutting Through AI Hype: Arvind Narayanan and Melanie Mitchell Discuss Artificial and Human Intelligence,2025,blog,https://blog.citp.princeton.edu/2025/04/02/a-guide-to-cutting-through-ai-hype-arvind-narayanan-and-melanie-mitchell-discuss-artificial-and-human-intelligence/,1
mitchell-aei-harder-than-think,skeptic,Melanie Mitchell,Why Artificial Intelligence Is Harder Than We Think: My Long-read Q&A with Melanie Mitchell,2023,interview,https://www.aei.org/economics/why-artificial-intelligence-is-harder-than-we-think-my-long-read-qa-with-melanie-mitchell/,3
bender-hanna-ai-con-book,skeptic,Emily M. Bender & Alex Hanna,The AI Con: How to Fight Big Tech's Hype and Create the Future We Want,2025,book,https://en.wikipedia.org/wiki/The_AI_Con,1
chollet-dwarkesh-llms-no-agi,skeptic,François Chollet,"Francois Chollet, Mike Knoop - LLMs won't lead to AGI - $1,000,000 Prize to find true solution",2024,interview,https://www.dwarkesh.com/p/francois-chollet,3
brooks-predictions-scorecard-2026,skeptic,Rodney Brooks,"Predictions Scorecard, 2026 January 01",2026,blog,https://rodneybrooks.com/predictions-scorecard-2026-january-01/,1
newport-why-isnt-ai-taking-jobs,skeptic,Cal Newport,Why Isn't AI Taking Our Jobs?,2025,blog,https://calnewport.com/why-isnt-ai-taking-our-jobs/,1
newport-ai-workforce-2025,skeptic,Cal Newport,Why Didn't AI "Join the Workforce" in 2025?,2026,blog,https://calnewport.com/why-didnt-ai-join-the-workforce-in-2025/,1
dthompson-case-against-jobs-apocalypse,skeptic,Derek Thompson,The Case Against the AI Job Apocalypse,2026,interview,https://www.theringer.com/podcasts/plain-english-with-derek-thompson/2026/05/12/the-case-against-the-ai-job-apocalypse,1
muir-forbes-jobs-apocalypse-called-off,skeptic,Don Muir,The Jobs Apocalypse Was Just Called Off By The People Who Predicted It,2026,essay,https://www.forbes.com/sites/donmuir/2026/07/25/the-jobs-apocalypse-was-just-called-off-by-the-people-who-predicted-it/,1
shiller-fortune-self-fulfilling-prophecy,skeptic,Robert Shiller,Nobel laureate economist warns AI jobs apocalypse fears could become a self-fulfilling prophesy,2026,interview,https://fortune.com/2026/06/27/ai-job-apocalypse-backlash-robert-shiller-nobel/,1
armstrong-ft-unhedged-ai-bubble,skeptic,Robert Armstrong,"FT Unhedged: AI bubble fears, US shutdown chaos & the $1.7tn shadow bank risk",2025,interview,https://www.biznews.com/interviews/members-only-ft-unhedged-ai-bubble-fears,3
